Router,Timestamp,Estado
ROUTER_37893,2023-07-11 19:57:03.980,AGREGADO
ROUTER_37893,2023-07-11 19:57:03.980,ACTIVO
ROUTER_27979,2023-07-11 19:57:03.980,AGREGADO
ROUTER_27979,2023-07-11 19:57:03.980,ACTIVO
ROUTER_24035,2023-07-11 19:57:03.980,AGREGADO
ROUTER_24035,2023-07-11 19:57:03.980,ACTIVO
ROUTER_18450,2023-07-11 19:57:03.980,AGREGADO
ROUTER_18450,2023-07-11 19:57:03.980,ACTIVO
ROUTER_43110,2023-07-11 19:57:03.980,AGREGADO
ROUTER_43110,2023-07-11 19:57:03.980,ACTIVO
ROUTER_38588,2023-07-11 19:57:03.980,AGREGADO
ROUTER_38588,2023-07-11 19:57:03.980,ACTIVO
ROUTER_2897,2023-07-11 19:57:03.980,AGREGADO
ROUTER_2897,2023-07-11 19:57:03.980,ACTIVO
ROUTER_2546,2023-07-11 19:57:03.980,AGREGADO
ROUTER_2546,2023-07-11 19:57:03.980,ACTIVO
